symbol,name,marketCap
MSFT,Microsoft Corporation Common Stock,3131483044350.00
AAPL,Apple Inc. Common Stock,2607207188040.00
NVDA,NVIDIA Corporation Common Stock,2236300000000.00
GOOG,Alphabet Inc. Class C Capital Stock,1937931710000.00
GOOGL,Alphabet Inc. Class A Common Stock,1921644480000.00
AMZN,Amazon.com Inc. Common Stock,1876895925471.00
META,Meta Platforms Inc. Class A Common Stock,1267997617571.00
BRK/A,Berkshire Hathaway Inc.,927075702586.00
BRK/B,Berkshire Hathaway Inc.,924267959539.00
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,727191589620.00
LLY,Eli Lilly and Company Common Stock,725887634750.00
AVGO,Broadcom Inc. Common Stock,620409815246.00
JPM,JP Morgan Chase & Co. Common Stock,572790676092.00
NVO,Novo Nordisk A/S Common Stock,570334600000.00
TSLA,Tesla Inc. Common Stock,530681626851.00
V,Visa Inc.,511357761425.00
WMT,Walmart Inc. Common Stock,476714159554.00
XOM,Exxon Mobil Corporation Common Stock,473284468939.00
MA,Mastercard Incorporated Common Stock,447256171845.00
UNH,UnitedHealth Group Incorporated Common Stock (DE),422374892697.00
ASML,ASML Holding N.V. New York Registry Shares,380324711908.00
JNJ,Johnson & Johnson Common Stock,379934854872.00
PG,Procter & Gamble Company (The) Common Stock,377824590641.00
HD,Home Depot Inc. (The) Common Stock,359738725599.00
ORCL,Oracle Corporation Common Stock,341750230760.00
TM,Toyota Motor Corporation Common Stock,330527675643.00
MRK,Merck & Company Inc. Common Stock (new),330130128715.00
ABBV,AbbVie Inc. Common Stock,319184071238.00
COST,Costco Wholesale Corporation Common Stock,315464420807.00
CVX,Chevron Corporation Common Stock,296754466385.00
CRM,Salesforce Inc. Common Stock,294880000000.00
BAC,Bank of America Corporation Common Stock,293650126317.00
AMD,Advanced Micro Devices Inc. Common Stock,288741108487.00
NFLX,Netflix Inc. Common Stock,265805264089.00
KO,Coca-Cola Company (The) Common Stock,259394238505.00
PEP,PepsiCo Inc. Common Stock,235632154220.00
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,229578597253.00
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,226242003922.00
